"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"MXRA8","OK",0,67.2679615713685,0.422482043841948,"MXRA8",0
"AURKAIP1","OK",0.00013493508959881,3.64262659646433,0.0232813331482807,"AURKAIP1",0.000743415151675898
"CCNL2","OK",0.392591615394213,0.272570708557057,0.0014815508713816,"CCNL2",0.680097157475022
"MRPL20","OK",0.125925085966649,1.14586703743478,0.00713121983815544,"MRPL20",0.305965124309944
"AL391244.3","OK",0.554936393849494,-0.138143240602455,-0.00104195157017031,"AL391244.3",0.749795867700198
"ANKRD65","OK",0.0154312059327229,2.15884219287339,0.0131580317242313,"ANKRD65",0.0551333801190072
"TMEM88B","FAIL",NA,NA,NA,"TMEM88B",1
"LINC01770","FAIL",NA,NA,NA,"LINC01770",1
"VWA1","OK",0.236721042604097,0.71688981776855,0.00427490292747181,"VWA1",0.482767544475575
"ATAD3C","OK",0.466952724445705,0.0829322018028419,0.00024299258586222,"ATAD3C",0.749795867700198
"ATAD3B","OK",0.657628179631188,-0.405998584133863,-0.00289689105886738,"ATAD3B",0.770623245975681
"ATAD3A","OK",0.0784650737137314,1.41547201674323,0.00884068847997306,"ATAD3A",0.212749198765495
"TMEM240","OK",0.83696694516319,-0.982068485889254,-0.000359646887322048,"TMEM240",0.874293956715036
"SSU72","OK",0.0902858945272267,1.33899657146437,0.00838048562482534,"SSU72",0.237479178479533
"AL645728.1","OK",0.245543490055264,0.688581001559244,0.00413784688922842,"AL645728.1",0.495542522250374
"FNDC10","OK",0.753061379449285,-0.684155084658443,-0.00462606620467041,"FNDC10",0.822949294473929
"MIB2","OK",0.339528283467275,0.413750871377371,0.00239344210889775,"MIB2",0.618078401346781
"MMP23B","OK",0.0180720506558429,2.09530260210467,0.0129574883675742,"MMP23B",0.0632448398814609
"CDK11B","OK",0.559846756613414,-0.150580700215617,-0.00125432075508286,"CDK11B",0.749795867700198
"SLC35E2B","OK",0.530113144560332,-0.075554281048606,-0.000769078905035636,"SLC35E2B",0.749795867700198
"CDK11A","OK",0.161193982645104,0.989562585069674,0.00611693199149315,"CDK11A",0.368495301262292
"SLC35E2","OK",0.355558932042434,0.370355180381179,0.00209083342382123,"SLC35E2",0.636961491164867
"NADK","OK",0.10420456598288,1.2579519560214,0.00784006457822589,"NADK",0.264297432757977
"GNB1","OK",0.0627726278480653,1.53190752752013,0.00962797547125267,"GNB1",0.177720041299523
"CALML6","FAIL",NA,NA,NA,"CALML6",1
"TMEM52","OK",0.536768538621529,-0.0922959289953085,-0.000699792748423688,"TMEM52",0.749795867700198
"CFAP74","OK",0.0763800791241964,1.42984971020269,-0.000165857787773746,"CFAP74",0.208077778764542
