"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"MRPL52","OK",1.2031434784529e-203,30.4271091775764,0.109474928165312,"MRPL52",6.46436377898798e-203
"MMP14","OK",0,172.038374358754,0.61925311871567,"MMP14",0
"LRP10","OK",1.00155895745067e-77,18.6253146044453,0.0669666126478526,"LRP10",3.33566344364421e-77
"REM2","OK",2.94127420487611e-05,4.01747335602853,0.01408441908617,"REM2",4.40445292521869e-05
"RBM23","OK",1.30385641044307e-30,11.4410299368381,0.041088252055046,"RBM23",3.08506056306606e-30
"PRMT5","OK",1.50348600296484e-78,18.7265660294697,0.0672693635027569,"PRMT5",5.0293310105941e-78
"HAUS4","OK",1.41728130745845e-12,6.9856915321998,0.0250051141483996,"HAUS4",2.58201271806341e-12
"AJUBA","OK",1.19687284154813e-255,34.1329585021903,0.122512720164577,"AJUBA",7.35333398271637e-255
"C14orf93","OK",0.22815337563713,0.744942053116303,0.00256216113945807,"C14orf93",0.279131615969656
"PSMB5","OK",0,58.5326378324307,0.210695408316079,"PSMB5",0
"CDH24","OK",0.00467553826478201,2.59894496038526,0.00920438207265584,"CDH24",0.00640244850087787
"ACIN1","OK",1.85774061488772e-22,9.67866155614224,0.0347431426701703,"ACIN1",3.96073742691279e-22
"C14orf119","OK",1.33889115296428e-94,20.6011905999489,0.0740816605009431,"C14orf119",4.84759950203007e-94
"CEBPE","OK",0.234832235851327,0.723025086849371,0.00237846522841375,"CEBPE",0.287036522820315
"SLC7A8","OK",0,43.331422654023,0.15574162181906,"SLC7A8",0
"RNF212B","OK",0.531623849426701,-0.0793524343785993,-0.000281700174085987,"RNF212B",0.594145667571509
"HOMEZ","OK",0.00119731705781011,3.03634724343658,0.01079741989851,"HOMEZ",0.00168683402326288
"PPP1R3E","OK",2.95228394810705e-08,5.42166736329712,0.019390729290688,"PPP1R3E",4.85696742997103e-08
"BCL2L2","OK",3.83448384029069e-81,19.0419031633592,0.0683395063251767,"BCL2L2",1.29848671366776e-80
"BCL2L2-PABPN1","FAIL",NA,NA,NA,"BCL2L2-PABPN1",1
"PABPN1","OK",4.19637020661471e-86,19.6310706673314,0.0705885790856466,"PABPN1",1.45925104231779e-85
"SLC22A17","OK",0,42.2578462781202,0.151792187014236,"SLC22A17",0
"EFS","OK",1.09834472945576e-197,29.9731582671358,0.107543384877888,"EFS",5.79428100875288e-197
"MYH6","OK",0.502148505641749,-0.00538553102330494,-0.00011682460469743,"MYH6",0.592862490278749
"NGDN","OK",1.06849232375696e-28,11.0522877911742,0.0396822297372823,"NGDN",2.46766094336726e-28
"ZFHX2","OK",1.06494444890844e-14,7.64253330181987,0.0268861886152142,"ZFHX2",2.01470747181368e-14
"THTPA","OK",3.60804604115105e-07,4.95545581348219,0.0177116479582099,"THTPA",5.74470622391076e-07
"AP1G2","OK",9.00471877684741e-29,11.0676331710225,0.0397290841735654,"AP1G2",2.08132201848782e-28
"JPH4","OK",2.54846180656943e-35,12.3463543538267,0.0405680162913467,"JPH4",6.32019805934098e-35
"AL135999.3","OK",0.0429069935442952,1.7179047675745,0.00569398975315971,"AL135999.3",0.0555334676667839
"DHRS2","OK",5.23954835988754e-06,4.40704387568895,0.0153334735902697,"DHRS2",8.05955875932316e-06
"DHRS4","OK",3.03251567050539e-34,12.1454468713111,0.0436093472252666,"DHRS4",7.43398482151278e-34
"DHRS4L2","OK",8.07349990062727e-38,12.8011841845211,0.0459763342203081,"DHRS4L2",2.04845515626663e-37
"CARMIL3","OK",0.317144274532325,0.475699399139566,0.00156487350908253,"CARMIL3",0.383055448017155
"CPNE6","OK",NA,NA,-0.000132944270369441,"CPNE6",NA
"NRL","OK",0.236865186465401,0.716422715381648,0.00245529347733337,"NRL",0.289396244061575
"PCK2","OK",1.43921546084669e-14,7.60367251923013,0.0272524372786628,"PCK2",2.71679384178721e-14
"DCAF11","OK",4.70657040934005e-34,12.1094428142437,0.0434890449179349,"DCAF11",1.15149743269817e-33
"FITM1","OK",0.579581659766993,-0.200823380359014,-0.000817641230162186,"FITM1",0.6085776289534
"PSME1","OK",0,65.9296493935555,0.237339673684568,"PSME1",0
"EMC9","OK",5.71040832031836e-114,22.6588165704669,0.0814680481776872,"EMC9",2.26982133415427e-113
"AL136295.2","OK",0.290185399089881,0.552843179623974,0.00186150372012996,"AL136295.2",0.351868694464917
