	log2FoldChange	fdr
RABGEF1.1	-1.6924909650256	0.950339590166816
DEPTOR	-1.6924909650256	1
SEMA3F	-1.6924909650256	1
LRRK1	-1.6924909650256	1
OSMR	-1.6924909650256	0.007595893337662
FAM114A1	-1.6924909650256	1
SLCO2B1	-1.6924909650256	1
GPR153	-1.6924909650256	1
MAPT	-1.6924909650256	1
HIST2H4B	-1.6924909650256	1
IL12A	-1.6924909650256	1
LINC00106	-1.6924909650256	1
FALEC	-1.6924909650256	0.670026049662657
HIST1H4D	-1.6924909650256	1
BGLAP	-1.6924909650256	1
AL513314.2	-1.6924909650256	1
BOC	-1.6924909650256	1
FBLN1	-1.6924909650256	1
GHET1	-1.6924909650256	1
AC020922.4	-1.6924909650256	1
KIF2C	-1.6924909650256	1
ECHDC3	-1.6924909650256	0.092269083990713
ANGPTL6	-1.6924909650256	1
RAB32	-1.6924909650256	0.000458411337261
SMPDL3A	-1.6924909650256	1
FAM57A	-1.6924909650256	1
PDLIM3	-1.6924909650256	1
AC009779.3	-1.6924909650256	1
ARHGAP44	-1.6924909650256	1
DOCK6	-1.6924909650256	1
PPP2R3A	-1.6924909650256	1
RASA4B	-1.6924909650256	1
TMEM132A	-1.6924909650256	1
FCGR3B	-1.6924909650256	1
LINC02325	-1.6924909650256	1
GNG7	-1.6924909650256	0.474172806852146
LINC01353	-1.6924909650256	0.579626306181711
PTPN14	-1.6924909650256	1
CALCRL	-1.6924909650256	0.671697797270082
ARHGEF10L	-1.6924909650256	1
DNALI1	-1.6924909650256	1
TMEM176A	-1.6924909650256	1
C12orf42	-1.6924909650256	1
AC135803.1	-1.6924909650256	1
C7orf25	-1.6924909650256	0.825171073197816
RGPD8	-1.6924909650256	1
IGHV1-3	-1.6924909650256	1
TRIM16L	-1.6924909650256	0.948160175304858
CDHR1	-1.6924909650256	1
AL451050.2	-1.6924909650256	0.113681102008655
SLC13A4	-1.6924909650256	0.822731468641515
TBX2	-1.6924909650256	0.8736712968264
PPM1L	-1.6924909650256	1
TMEM170B	-1.6924909650256	0.556682245914307
MICU3	-1.6924909650256	1
KRT23	-1.6924909650256	1
NOTCH3	-1.6924909650256	1
AC068473.5	-1.6924909650256	1
ZNF221	-1.6924909650256	1
ALG1L	-1.6924909650256	1
SYNE4	-1.6924909650256	1
GNA11	-1.6924909650256	1
HS3ST1	-1.6924909650256	1
TNFSF9	-1.67820673901935	1
MXI1	-1.67689410997458	1
DDR1	-1.65686705529488	0.033467513442951
RBP1	-1.65296260083896	1
HSP90AA1	-1.6492034467766	1
NAP1L2	-1.64186489195563	0.509586594825435
TRGV8	-1.63359727597203	1
MMP23B	-1.63359727597203	1
AVPI1	-1.63359727597203	0.451744447815193
ANO10	-1.63359727597203	1
SIPA1L2	-1.6221016371342	1
PPIC	-1.6221016371342	0
HSPH1	-1.61002880483363	1
DUSP8	-1.60502812377526	1
KLF4	-1.60502812377526	1
CFAP44	-1.60502812377526	1
SLC2A1-AS1	-1.60502812377526	1
SCARB1	-1.60502812377526	1
SIK1	-1.60502812377526	1
C17orf97	-1.60502812377526	1
NREP	-1.60502812377526	2.53492636604732E-07
GABBR1	-1.60502812377526	0.928892493702857
AL139246.5	-1.59851481681659	1
PTCH1	-1.59295529147469	0.01860532949665
CXCR4	-1.58099485364683	1
ZNF487	-1.57701374760567	0.000206119317306
EPHX1	-1.57701374760567	0.424261830403655
CACNB3	-1.57701374760567	1
MFSD4A	-1.57701374760567	1
SPART	-1.57701374760567	1
C16orf74	-1.57701374760567	0.9470688458781
AC243547.3	-1.57701374760567	1
DLG5	-1.57701374760567	0.748701986924319
YTHDF3-AS1	-1.56320794808063	0.012963499847662
ZNF718	-1.56320794808063	0.671697797270082
SORBS3	-1.56320794808063	0.982319024532387
LRP1	-1.55498744127567	1
MCC	-1.54564957669633	1
ZFAND2A	-1.54100321183997	0.188094691528146
EGR2	-1.53133617321102	0.113242900366122
PLCL1	-1.52256596358329	1
SETD7	-1.52256596358329	0.671697797270082
