	log2FoldChange	fdr
PSMD2	-0.833267732465338	1
SEC62	-0.831756265547739	1
ABHD17A	-0.82872857285017	1
FABP5	-0.827862349443249	1
EFHD2	-0.825694512760539	1
COA4	-0.825694512760539	1
GGNBP2	-0.825694512760539	1
PDCD7	-0.825694512760539	1
MINOS1	-0.819607182881624	1
TMEM50A	-0.818081328650663	1
CEP57	-0.818081328650663	1
LLPH	-0.818081328650663	1
TPST2	-0.818081328650663	1
C19orf66	-0.814259617698255	1
GCC2	-0.813494059155009	1
CEBPB	-0.810427756107227	1
ZDHHC12	-0.810427756107227	1
TOX4	-0.810427756107227	1
SREK1	-0.810427756107227	1
TRBC2	-0.809619749902466	1
FAM96B	-0.807354922057605	1
GZMM	-0.807354922057605	1
PSMB6	-0.806585689812834	1
LEPROTL1	-0.804275529125631	1
TSTD1	-0.804275529125631	1
POLR2A	-0.802733364317225	1
STRAP	-0.802733364317225	1
DUT	-0.802733364317225	1
HLA-C	-0.798053349141696	1
NDUFB10	-0.794997715537622	1
SLC25A11	-0.794997715537622	1
METTL26	-0.794997715537622	1
SDHC	-0.794997715537622	1
ARHGAP18	-0.794997715537622	1
PSMD11	-0.794997715537622	1
IER5L	-0.794997715537622	1
G3BP2	-0.791891804669799	1
HLA-DRA	-0.791728150306186	1
SIRPG	-0.791114281050394	1
SDHA	-0.787220364945903	1
FDX1	-0.787220364945903	1
DDX23	-0.787220364945903	1
CNOT2	-0.787220364945903	1
GPI	-0.779400860486603	1
CFDP1	-0.779400860486603	1
ATP5E	-0.77446396176643	1
ITGB1	-0.774164212120455	1
RBM33	-0.771538742713632	1
UBE2V2	-0.771538742713632	1
RCN2	-0.771538742713632	1
TROVE2	-0.771538742713632	1
BCL2L11	-0.771538742713632	1
GBP2	-0.767152314765082	1
TXNL4A	-0.763633544628286	1
SNX5	-0.763633544628286	1
TSTA3	-0.763633544628286	1
DDX18	-0.75966464242534	1
YWHAE	-0.75966464242534	1
SEC11A	-0.758339244958774	1
ABRACL	-0.755684791512795	1
COQ10B	-0.755684791512795	1
UQCC2	-0.755684791512795	1
MYL12B	-0.754089771957415	1
HNRNPR	-0.751693931316761	1
SLC25A5	-0.750894432797607	1
SRGN	-0.749148532978781	1
XAF1	-0.747692000759263	1
NAMPT	-0.747692000759263	1
SQSTM1	-0.747692000759263	1
BCAS2	-0.747692000759263	1
UFD1	-0.747692000759263	1
CTDSP1	-0.747692000759263	1
CALM1	-0.745285503052171	1
USP18	-0.74367893825264	1
SP3	-0.739654681693846	1
PHC3	-0.739654681693846	1
HOXB2	-0.739654681693846	1
MVP	-0.739654681693846	1
UBE2R2	-0.739654681693846	1
CCDC85B	-0.736965594166206	1
DYNLRB1	-0.736965594166206	1
ITGA1	-0.735619168458689	1
COX5A	-0.731572335395988	1
MAPK1IP1L	-0.731572335395988	1
CHCHD7	-0.731572335395988	1
FBXO7	-0.731572335395988	1
SUPT4H1	-0.731572335395988	1
TMC8	-0.731572335395988	1
RBL2	-0.731572335395988	1
LAMTOR2	-0.731572335395988	1
RTP4	-0.731572335395988	1
ACTN4	-0.729254752502589	1
RALGDS	-0.723444454512588	1
AATF	-0.723444454512588	1
BUD23	-0.723444454512588	1
ZNF638	-0.723444454512588	1
SZRD1	-0.723444454512588	1
SUZ12	-0.723444454512588	1
