"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"RFLNB","OK",1.88619312307765e-10,6.26316601356787,0.0373430520993388,"RFLNB",2.50080766765631e-09
"VPS53","OK",0.239813026332514,0.706904137396963,0.00399343556148414,"VPS53",0.524583584724061
"FAM57A","OK",0.588551323693469,-0.22382001846387,-0.001476037497708,"FAM57A",0.764040682511283
"GEMIN4","OK",0.263993543010473,0.631081730522564,0.0035037817381206,"GEMIN4",0.559265113687662
"GLOD4","OK",0.00894232149300919,2.3679977847374,0.0139723917006248,"GLOD4",0.0409805185717715
"AC087392.3","OK",0.571041810614036,-0.179027155969865,-0.00118797439772938,"AC087392.3",0.764040682511283
"MRM3","OK",0.186601081343941,0.89049125373593,0.00508790553122444,"MRM3",0.444345804635311
"AC087392.5","OK",0.537057367478861,-0.0930230302666483,-0.000702573844034348,"AC087392.5",0.764040682511283
"NXN","OK",0.79891010185552,-0.837734564728941,-0.00513525631910518,"NXN",0.848959155892365
"TIMM22","OK",0.705260254265135,-0.539590468285155,-0.00348766253289013,"TIMM22",0.79391388920969
"ABR","OK",0.198257397439273,0.847862062060919,0.00483928816616523,"ABR",0.46249323087348
"AC144836.1","FAIL",NA,NA,NA,"AC144836.1",1
"TUSC5","OK",NA,NA,-0.000211015105817823,"TUSC5",NA
"YWHAE","OK",6.01728115334912e-07,4.85506769740658,0.0289159115296698,"YWHAE",5.86712040030799e-06
"CRK","OK",0.80308579867873,-0.852695111280942,-0.00536550746134359,"CRK",0.851426839882685
"MYO1C","OK",0.0198517091194577,2.0568213019029,0.012084688881602,"MYO1C",0.0804270635540966
"INPP5K","OK",0.939933842267738,-1.55421846075642,-0.00957281189691735,"INPP5K",0.94990598533695
"PITPNA","OK",0.0018684100354274,2.89956403531043,0.0171563299995125,"PITPNA",0.0103175175282763
"SLC43A2","OK",0.415008443221119,0.214679910574076,0.00103059411713404,"SLC43A2",0.748123118877501
"SCARF1","OK",0.691248935419597,-0.499393596920164,-0.00311389278991764,"SCARF1",0.788176466941205
"RILP","OK",0.000208318756122343,3.52931460493782,0.0208472685620385,"RILP",0.00141860640605356
"PRPF8","OK",0.144208513194428,1.06160063266965,0.00612673725521414,"PRPF8",0.373339447676476
"TLCD2","OK",0.478603279737249,0.0536593633552685,6.53451588487737e-05,"TLCD2",0.764040682511283
"MIR22HG","OK",0.908379621704808,-1.33084275458267,-0.00820660354102713,"MIR22HG",0.92557472317038
"WDR81","OK",0.200737864078876,0.838988562014224,0.00477780409499926,"WDR81",0.466377473701256
"SERPINF2","OK",0.546360970861531,-0.116472526859502,-0.000848734286850005,"SERPINF2",0.764040682511283
"SERPINF1","OK",0.000111183099095441,3.69215005124945,0.0216185475407368,"SERPINF1",0.000793251509061228
"SMYD4","OK",0.14970163977033,1.03771388317692,0.00597129137628928,"SMYD4",0.382818047498337
"RPA1","OK",0.811803754238493,-0.884562774316462,-0.00555886290329953,"RPA1",0.857759821326723
"RTN4RL1","OK",NA,NA,-0.000179923603419304,"RTN4RL1",NA
"DPH1","OK",0.0786130954342131,1.41446236212699,0.0079706580476465,"DPH1",0.238854255977542
"OVCA2","OK",NA,NA,-0.000180995886044965,"OVCA2",NA
"AC090617.6","OK",NA,NA,-0.000258443205059001,"AC090617.6",NA
"HIC1","OK",0.000304962480109331,3.42716205464567,0.0202515297452566,"HIC1",0.0019993095326463
"SMG6","OK",0.376411291131724,0.314919754507497,0.00164129726630028,"SMG6",0.703160714821264
"SRR","OK",0.914219102805663,-1.36720265183341,-0.00839542158852801,"SRR",0.929908364723767
"TSR1","OK",0.811824673737083,-0.884640321002328,-0.00555320752498896,"TSR1",0.857759821326723
"SGSM2","OK",0.518887125647335,-0.0473607025132444,-0.000532810905731224,"SGSM2",0.764040682511283
"MNT","OK",0.535226875479315,-0.0884157431912583,-0.000778350857184122,"MNT",0.764040682511283
"METTL16","OK",0.637118396234012,-0.350766931674152,-0.00235432358248854,"METTL16",0.769415019135393
"PAFAH1B1","OK",0.0592490959954579,1.56110833422441,0.00912818142321907,"PAFAH1B1",0.193463228568723
"CLUH","OK",0.699651773068189,-0.523399238702619,-0.00337914921850576,"CLUH",0.791014411469348
"AC005696.4","OK",NA,NA,-0.000246839630656145,"AC005696.4",NA
"RAP1GAP2","OK",4.83537182274314e-08,5.33280445421016,0.0313913149057418,"RAP1GAP2",5.27114817979282e-07
"AC090282.1","OK",NA,NA,-0.000172195026511914,"AC090282.1",NA
"OR1A1","OK",1.03780586619801e-07,5.19243515488834,0.0287363111871496,"OR1A1",1.09407162561046e-06
"OR3A3","OK",NA,NA,-0.000222512215246555,"OR3A3",NA
"SPATA22","FAIL",NA,NA,NA,"SPATA22",1
"ASPA","FAIL",NA,NA,NA,"ASPA",1
"TRPV3","OK",0.643076108858803,-0.366693330164677,-0.00231477655084852,"TRPV3",0.770260290851971
"TRPV1","OK",0.626525035307517,-0.322663722012111,-0.0021377320134154,"TRPV1",0.766945623806792
"AC027796.3","OK",0.541518667692829,-0.104260448138191,-0.000707857440002846,"AC027796.3",0.764040682511283
"SHPK","OK",0.045340554311515,1.69181575521721,0.00972739212271693,"SHPK",0.157564579945098
"CTNS","OK",0.903508599611565,-1.30180574097846,-0.00800958425528193,"CTNS",0.921650186103
"TAX1BP3","OK",0.00753684874744892,2.43060356362485,0.0143310718542315,"TAX1BP3",0.0352471053167104
